Time_ms,DutyCycle_percent,Position
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
328,-100.00,0.0000
656,-100.00,0.0000
1031,-100.00,0.0000
1437,-100.00,0.0000
1828,-100.00,0.0000
2234,-100.00,0.0000
2641,-100.00,0.6206
3047,-100.00,1.9273
3437,-100.00,3.2339
3844,-100.00,4.5732
4234,-100.00,5.8962
4641,-100.00,7.2028
5047,-100.00,8.5258
5453,-100.00,9.8324
5844,-100.00,11.1227
6266,-100.00,12.4130
6656,-100.00,13.7033
7062,-100.00,14.9772
7469,-100.00,16.2839
7859,-100.00,17.6068
8266,-100.00,18.9135
8672,-100.00,19.6648
9062,-100.00,19.6648
9469,-100.00,19.6648
9875,-100.00,19.6648
10266,-100.00,19.6648
10672,-100.00,19.6648
11078,-100.00,19.6648
11484,-100.00,19.6648
11875,-100.00,19.6648
12281,-100.00,19.6648
12687,25.00,19.6648
13078,-100.00,20.6774
13500,-100.00,21.9840
13891,-100.00,23.2743
14281,-100.00,24.5810
14703,-100.00,25.8713
15094,-100.00,27.1779
15500,-100.00,28.5008
15906,-100.00,29.8238
16312,-100.00,31.1468
16703,-100.00,32.4371
17109,-100.00,33.3844
17500,-100.00,33.3190
17906,-100.00,33.3190
18312,-100.00,33.3190
18719,-100.00,33.3190
