Time_ms,DutyCycle_percent,Position,Speed,Speed_Pos [cm/min],,Average Factor,,,
212,0,10.159,0,,,1.004983344,,,30000
614,0,10.159,0,0,,,,,
1015,25,10.159,0,0,,,,,
1417,25,11.09,69.823,69.47761194,,,,,
1820,25,12.4293,100.4471,99.69975186,1.007495988,,,,
2221,25,13.7523,99.2221,98.97755611,1.0024707,,,,
2624,25,15.0752,99.2221,98.47890819,,,,,
3025,25,16.3982,99.2221,98.97755611,,,,,
3427,25,17.7048,97.9972,97.50746269,,,,,
3829,25,19.0115,97.9972,97.51492537,,,,,
4231,25,20.3344,99.2221,98.7238806,,,,,
4633,25,21.641,97.9972,97.50746269,,,,,
5035,0,22.376,55.1234,54.85074627,,,,,
5437,0,22.376,0,0,,,,,
5838,0,22.376,0,0,,,,,
6241,0,22.376,0,0,,,,,
6642,0,22.376,0,0,,,,,
7044,0,22.376,0,0,,,,,
7446,25,22.5557,13.4746,13.41044776,,,,,
7848,25,23.8623,97.9972,97.50746269,,,,,
8250,25,25.1853,99.2221,98.73134328,,,,,
8651,25,26.5082,99.2221,98.97007481,,,,,
9053,25,27.8475,100.4471,99.94776119,,,,,
9455,25,29.1868,100.4471,99.94776119,,,,,
9857,0,30.2975,83.2976,82.8880597,,,,,
10259,0,30.2975,0,0,,,,,
