Time_ms,Position_cm,Velocity_RPM,,,,
16,185.9007,0,,,1.005783547,6000
97,185.9007,0,0,,,
177,185.9007,0,0,,,
258,185.9007,0,0,,,
338,185.9007,0,0,,,
419,185.9007,0,0,,,
499,185.9007,0,0,,,
579,185.9007,0,0,,,
660,185.9007,0,0,,,
740,186.4886,44.0987,44.0925,1.000140613,,
821,187.7136,91.8724,90.74074074,1.012471347,,
902,189.0039,96.7722,95.57777778,1.012496861,,
982,190.3105,97.9972,97.995,1.00002245,,
1062,191.6008,96.7722,96.7725,0.9999969,,
1143,192.9075,97.9972,96.79259259,1.012445244,,
1223,194.2141,97.9972,97.995,1.00002245,,
1304,195.5207,97.9972,96.78518519,1.012522731,,
1384,196.811,96.7722,96.7725,0.9999969,,
1465,198.1176,97.9972,96.78518519,1.012522731,,
1545,199.4243,97.9972,98.0025,0.99994592,,
1626,200.7309,97.9972,96.78518519,1.012522731,,
1706,202.0375,97.9972,97.995,1.00002245,,
1787,203.3442,97.9972,96.79259259,1.012445244,,
1867,204.6508,97.9972,97.995,1.00002245,,
1948,205.9411,96.7722,95.57777778,1.012496861,,
2028,207.2477,97.9972,97.995,1.00002245,,
2108,208.5543,97.9972,97.995,1.00002245,,
2189,209.861,97.9972,96.79259259,1.012445244,,
2270,211.1676,97.9972,96.78518519,1.012522731,,
2350,212.4742,97.9972,97.995,1.00002245,,
2430,213.7645,96.7722,96.7725,0.9999969,,
2511,215.0548,96.7722,95.57777778,1.012496861,,
2591,216.1818,84.5226,84.525,0.999971606,,
2672,217.1291,71.048,70.17037037,1.012507126,,
2753,217.9294,60.0233,59.28148148,1.012513495,,
2833,218.5501,46.5487,46.5525,0.999918372,,
2913,219.0237,35.524,35.52,1.000112613,,
2994,219.3667,25.7243,25.40740741,1.012472449,,
3074,219.579,15.9245,15.9225,1.000125608,,
3155,219.6607,6.1248,6.051851852,1.012053856,,
3235,219.6607,0,0,,,
3315,219.6607,0,0,,,
3396,219.6607,0,0,,,
3476,219.6607,0,0,,,
3557,219.6607,0,0,,,
3637,219.6607,0,0,,,
3718,219.6607,0,0,,,
3798,219.6607,0,0,,,
3879,219.6607,0,0,,,
3959,219.6607,0,0,,,
4040,219.6607,0,0,,,
4120,219.6607,0,0,,,
4200,219.6607,0,0,,,
4281,219.6607,0,0,,,
4361,219.6607,0,0,,,
4442,219.6607,0,0,,,
4522,219.775,8.5748,8.5725,1.0002683,,
4603,220.8203,78.3977,77.42962963,1.012502583,,
4683,222.0943,95.5473,95.55,0.999971743,,
4764,223.3846,96.7722,95.57777778,1.012496861,,
4844,224.6912,97.9972,97.995,1.00002245,,
4925,225.9978,97.9972,96.78518519,1.012522731,,
5005,227.2881,96.7722,96.7725,0.9999969,,
5086,228.5948,97.9972,96.79259259,1.012445244,,
5166,229.9014,97.9972,97.995,1.00002245,,
5246,231.208,97.9972,97.995,1.00002245,,
5327,232.5146,97.9972,96.78518519,1.012522731,,
5408,233.8213,97.9972,96.79259259,1.012445244,,
5488,235.1279,97.9972,97.995,1.00002245,,
5569,236.4345,97.9972,96.78518519,1.012522731,,
5649,237.7412,97.9972,98.0025,0.99994592,,
5729,239.0315,96.7722,96.7725,0.9999969,,
5810,240.3381,97.9972,96.78518519,1.012522731,,
5890,241.6447,97.9972,97.995,1.00002245,,
5970,242.9513,97.9972,97.995,1.00002245,,
6051,244.258,97.9972,96.79259259,1.012445244,,
6132,245.5646,97.9972,96.78518519,1.012522731,,
6212,246.8712,97.9972,97.995,1.00002245,,
6292,248.1779,97.9972,98.0025,0.99994592,,
6373,249.4845,97.9972,96.78518519,1.012522731,,
6457,250.7911,97.9972,93.32857143,1.050023573,,
6534,252.0978,97.9972,101.8207792,0.962447948,,
6614,253.4044,97.9972,97.995,1.00002245,,
6695,254.711,97.9972,96.78518519,1.012522731,,
6775,256.0176,97.9972,97.995,1.00002245,,
6856,257.3243,97.9972,96.79259259,1.012445244,,
6936,258.5166,89.4224,89.4225,0.999998882,,
7017,259.5292,75.9478,75.00740741,1.01253733,,
7097,260.3785,63.6982,63.6975,1.000010989,,
7177,261.0645,51.4485,51.45,0.999970845,,
7258,261.6035,40.4238,39.92592593,1.012469944,,
7338,261.9955,29.3992,29.4,0.999972789,,
