Time_ms,DutyCycle_percent,Position,Speed,Speed_Pos [cm/min],,Average Factor,,,
31,0,62.0649,0,,,1.006705136,,,30000
438,0,62.0649,0,0,,,,,
844,0,62.0649,0,0,,,,,
1235,0,62.0649,0,0,,,,,
1641,25,62.9305,64.9231,63.96059113,1.015048467,,,,
2047,25,64.2535,99.2221,97.75862069,1.014970335,,,,
2453,25,65.5928,100.4471,98.96305419,1.014995958,,,,
2860,25,66.9484,101.6721,99.92137592,1.017521017,,,,
3266,25,68.2877,100.4471,98.96305419,1.014995958,,,,
3656,25,69.6107,99.2221,101.7692308,0.974971504,,,,
4063,25,70.9336,99.2221,97.51105651,1.017547174,,,,
4469,25,72.2403,97.9972,96.55418719,1.014945109,,,,
4860,25,73.5632,99.2221,101.5012788,0.97754532,,,,
5266,25,74.8698,97.9972,96.54679803,1.015022787,,,,
5656,25,76.1928,99.2221,101.7692308,0.974971504,,,,
6063,25,77.5158,99.2221,97.51842752,1.017470262,,,,
6469,0,78.6264,83.2976,82.06403941,1.015031683,,,,
6860,0,78.6264,0,0,,,,,
7266,0,78.6264,0,0,,,,,
7672,0,78.6264,0,0,,,,,
8078,0,78.6264,0,0,,,,,
8485,0,78.6264,0,0,,,,,
8875,0,78.6264,0,0,,,,,
9281,0,78.6264,0,0,,,,,
9688,0,78.6264,0,0,,,,,
10094,25,78.8714,18.3745,18.10344828,1.014972381,,,,
10485,25,80.227,101.6721,104.0102302,0.97752019,,,,
10891,25,81.5663,100.4471,98.96305419,1.014995958,,,,
11297,25,82.8893,99.2221,97.75862069,1.014970335,,,,
11703,25,84.2122,99.2221,97.75123153,1.015047058,,,,
12094,25,85.5352,99.2221,101.5089514,0.977471431,,,,
12500,25,86.8582,99.2221,97.75862069,1.014970335,,,,
12906,25,88.1648,97.9972,96.54679803,1.015022787,,,,
13313,0,89.1611,74.7229,73.43734644,1.017505447,,,,
13703,0,89.1611,0,0,,,,,
14094,0,89.1611,0,0,,,,,
14516,0,89.1611,0,0,,,,,
14906,0,89.1611,0,0,,,,,
,,,,179.4467329,,,,,
